 : 18
всех : 2
планетах : 1
колонизированных : 7
людьми : 1
А : 15
вовторых : 1
настоящее : 1
процветание : 1
фирмы : 1
невозможно : 11
без : 14
использования : 1
роботов : 1
на : 14
Земле : 1
Мы : 12
в : 14
Ю : 1
С : 14
Роботс : 1
твердо : 11
уверены : 8
что : 15
люди : 1
нуждаются : 5
в : 14
роботах : 1
и : 15
поэтому : 11
должны : 3
научиться : 6
уживаться : 6
со : 14
своими : 2
механическими : 2
подобиями : 1
если : 15
хотят : 5
чтобы : 15
прогресс : 1
продолжался : 5
А : 15
разве : 16
они : 12
не : 16
уживаются : 5
Мистер : 1
Харриман : 1
у : 14
вас : 12
на : 14
столе : 1
стоит : 5
компьютер : 1
который : 2
как : 15
я : 12
понимаю : 5
подключен : 8
к : 14
Мультиваку : 1
Но : 15
компьютер : 1
это : 16
своего : 2
рода : 1
сидячий : 2
робот : 1
искусственный : 2
мозг : 1
не : 16
имеющий : 7
подвижного : 2
тела : 1
Верно : 15
но : 15
и : 15
здесь : 11
есть : 17
свои : 2
ограничения : 1
Компьютеры : 1
которыми : 2
пользуется : 5
человечество : 1
становятся : 5
все : 2
более : 11
узкоспециализированными : 2
чтобы : 15
не : 16
допустить : 6
возникновения : 1
интеллекта : 1
слишком : 11
похожего : 2
на : 14
человеческий : 2
Сто : 1
лет : 1
назад : 11
мы : 12
уже : 11
вступили : 5
на : 14
путь : 1
создания : 1
искусственного : 2
интеллекта : 1
с : 14
самыми : 2
неограниченными : 2
возможностями : 1
сконструировав : 9
огромные : 2
компьютеры : 1
которые : 2
назвали : 5
Машинами : 1
Но : 15
Машины : 1
сами : 2
наложили : 5
ограничения : 1
на : 14
свою : 2
деятельность : 1
Успешно : 11
разрешив : 9
экологические : 2
проблемы : 1
угрожавшие : 7
существованию : 1
человеческого : 2
общества : 1
они : 12
самоликвидировались : 5
Машины : 1
пришли : 5
к : 14
выводу : 1
что : 15
в : 14
дальнейшем : 2
станут : 5
для : 14
людей : 1
чемто : 3
вроде : 16
подпорок : 1
или : 15
костылей : 1
а : 15
поскольку : 15
сочли : 5
это : 16
вредным : 2
для : 14
человека : 1
то : 15
вынесли : 5
себе : 12
приговор : 1
на : 14
основании : 1
Первого : 1
Закона : 1
Вы : 12
полагаете : 5
они : 12
ошиблись : 5
Помоему : 11
да : 16
Своим : 2
поступком : 1
они : 12
усилили : 5
у : 14
людей : 1
комплекс : 1
Франкенштейна : 1
инстинктивную : 2
боязнь : 1
что : 15
искусственно : 11
созданный : 7
интеллект : 1
восстанет : 5
против : 14
своего : 2
создателя : 1
Люди : 1
боятся : 5
что : 15
роботы : 1
могут : 5
занять : 6
их : 12
место : 1
А : 15
вы : 12
сами : 2
не : 16
боитесь : 5
Я : 12
лучше : 4
осведомлен : 8
Пока : 11
действуют : 5
Три : 10
Закона : 1
Роботехники : 1
этого : 12
не : 16
случится : 5
Роботы : 1
могут : 5
стать : 6
нашими : 2
партнерами : 1
внести : 6
свой : 2
вклад : 1
в : 14
великую : 2
борьбу : 1
за : 14
разгадку : 1
законов : 1
природы : 1
и : 15
мудрое : 2
управление : 1
ею : 12
При : 14
таком : 2
сотрудничестве : 1
человечество : 1
могло : 5
бы : 16
достигнуть : 6
гораздо : 11
большего : 2
чем : 15
в : 14
одиночку : 1
причем : 15
роботы : 1
всегда : 11
стояли : 5
бы : 16
на : 14
страже : 1
интересов : 1
человека : 1
Но : 15
если : 15
на : 14
протяжении : 1
двух : 10
веков : 1
Три : 10
Закона : 1
успешно : 11
удерживали : 5
роботов : 1
в : 14
границах : 1
повиновения : 1
в : 14
чем : 15
же : 16
источник : 1
недоверия : 1
людей : 1
Ну : 16
Харриман : 1
яростно : 11
поскреб : 5
затылок : 1
взъерошив : 9
седые : 2
волосы : 1
В : 14
основном : 1
конечно : 15
предубеждение : 1
Но : 15
к : 14
несчастью : 1
есть : 17
тут : 11
некоторые : 2
сложности : 1
за : 14
которые : 2
конечно : 15
же : 16
сразу : 11
ухватились : 5
противники : 1
роботов : 1
Это : 16
касается : 5
Трех : 10
Законов : 1
Да : 16
в : 14
особенности : 1
Второго : 2
Закона : 1
Видишь : 5
ли : 16
с : 14
Третьим : 2
проблем : 1
нет : 13
это : 16
закон : 1
абсолютный : 2
Робот : 1
всегда : 11
должен : 3
жертвовать : 6
собой : 12
ради : 14
людей : 1
ради : 14
любого : 12
человека : 1
Естественно : 11
согласился : 5
Джордж : 1
Десять : 10
Первый : 2
Закон : 1
похоже : 15
не : 16
столь : 11
универсален : 3
потому : 11
что : 15
нетрудно : 11
придумать : 6
ситуацию : 1
в : 14
которой : 2
робот : 1
обязан : 8
предпринять : 6
взаимоисключающие : 2
действия : 1
А : 15
или : 15
Б : 16
и : 15
каждое : 2
из : 14
них : 12
в : 14
результате : 1
причинит : 5
человеку : 1
вред : 1
Поэтому : 11
робот : 1
должен : 3
быстро : 11
выбрать : 6
меньшее : 2
из : 14
двух : 10
зол : 3
Однако : 15
сконструировать : 6
позитронные : 2
мозговые : 2
связи : 1
таким : 2
образом : 1
чтобы : 15
робот : 1
мог : 5
сделать : 6
нужный : 2
выбор : 1
крайне : 11
нелегко : 11
Если : 15
действие : 1
А : 15
нанесет : 5
вред : 1
молодому : 2
талантливому : 2
художнику : 1
а : 15
действие : 1
Б : 16
пяти : 10
престарелым : 2
людям : 1
не : 16
имеющим : 7
особой : 1
ценности : 1
что : 15
предпочесть : 6
Действие : 1
А : 15
без : 14
колебаний : 1
ответил : 5
Джордж : 1
Десять : 10
Вред : 1
причиненный : 7
одному : 2
меньше : 4
чем : 15
вред : 1
причиненный : 7
пяти : 10
Да : 16
роботов : 1
всегда : 11
конструировали : 5
с : 14
таким : 2
расчетом : 1
чтобы : 15
они : 12
принимали : 5
подобные : 2
решения : 1
Считалось : 5
непрактичным : 2
ожидать : 6
от : 14
робота : 1
суждения : 1
о : 14
таких : 2
тонких : 2
материях : 1
как : 15
талант : 1
ум : 1
польза : 1
для : 14
общества : 1
Все : 2
это : 16
настолько : 11
замедлило : 5
бы : 16
решение : 1
что : 15
робот : 1
практически : 11
был : 5
бы : 16
парализован : 8
Поэтому : 11
в : 14
ход : 1
идут : 5
числа : 1
К : 14
счастью : 1
такие : 2
критические : 2
ситуации : 1
достаточно : 11
редки : 3
И : 15
вот : 16
тут : 11
мы : 12
подходим : 5
ко : 14
Второму : 1
Закону : 1
Закону : 1
повиновения : 1
Именно : 16
Необходимость : 1
подчинения : 1
приказам : 1
реализуется : 5
постоянно : 11
Робот : 1
может : 5
просуществовать : 6
двадцать : 10
лет : 1
и : 15
ни : 16
разу : 1
не : 16
оказаться : 6
в : 14
такой : 2
ситуации : 1
когда : 15
ему : 12
нужно : 13
будет : 5
защитить : 6
человека : 1
или : 15
подвергнуться : 6
риску : 1
самоуничтожения : 1
Но : 15
приказы : 1
он : 12
должен : 3
выполнять : 6
все : 2
время : 1
Вопрос : 1
чьи : 2
приказы : 1
Человека : 1
Любого : 12
человека : 1
Как : 15
ты : 12
можешь : 5
судить : 6
о : 14
человеке : 1
чтобы : 15
знать : 6
подчиняться : 6
ему : 12
или : 15
нет : 13
Что : 15
есть : 17
человек : 1
яко : 15
помниши : 1
его : 12
Джордж : 1
Джордж : 1
заколебался : 5
Цитата : 1
из : 14
Библии : 1
поспешно : 11
проговорил : 5
Харриман : 1
Это : 16
неважно : 11
Я : 12
имею : 5
в : 14
виду : 1
должен : 3
ли : 16
робот : 1
повиноваться : 6
приказам : 1
ребенка : 1
или : 15
идиота : 1
или : 15
преступника : 1
или : 15
вполне : 11
порядочного : 2
человека : 1
но : 15
недостаточно : 11
компетентного : 2
чтобы : 15
предвидеть : 6
к : 14
каким : 2
прискорбным : 2
последствиям : 1
приведет : 5
его : 12
желание : 1
А : 15
если : 15
два : 10
человека : 1
дадут : 5
роботу : 1
противоречащие : 2
друг : 1
другу : 1
приказы : 1
какой : 2
выполнять : 6
Разве : 16
за : 14
двести : 10
лет : 1
эти : 2
проблемы : 1
не : 16
возникали : 5
и : 15
не : 16
были : 5
решены : 8
поинтересовался : 5
Джордж : 1
Нет : 13
энергично : 11
помотал : 5
головой : 1
Харриман : 1
Наши : 2
роботы : 1
использовались : 5
только : 16
в : 14
космосе : 1
в : 14
особой : 1
среде : 1
где : 11
с : 14
ними : 12
общались : 5
высококвалифицированные : 2
специалисты : 1
Там : 11
не : 16
было : 5
ни : 16
детей : 1
ни : 16
идиотов : 1
ни : 16
преступников : 1
ни : 16
невежд : 1
с : 14
благими : 2
намерениями : 1
И : 15
тем : 15
не : 16
менее : 11
случалось : 5
что : 15
глупые : 2
или : 15
попросту : 11
непродуманные : 2
приказы : 1
наносили : 5
определенный : 2
ущерб : 1
но : 15
его : 12
размеры : 1
были : 5
ограничены : 8
тем : 15
что : 15
роботов : 1
применяли : 5
в : 14
очень : 11
узкой : 2
сфере : 1
Однако : 15
на : 14
Земле : 1
роботы : 1
должны : 3
уметь : 6
принимать : 6
решения : 1
На : 14
этом : 12
спекулируют : 5
противники : 1
роботехники : 1
и : 15
черт : 1
бы : 16
их : 12
побрал : 5
тут : 11
они : 12
совершенно : 11
правы : 3
Тогда : 11
необходимо : 3
внедрить : 6
в : 14
позитронный : 2
мозг : 1
способность : 1
к : 14
взвешенному : 7
суждению : 1
Вот : 16
именно : 16
Мы : 12
начали : 5
производство : 1
модели : 1
ДжР : 18
которая : 2
сможет : 5
судить : 6
о : 14
человеке : 1
принимая : 9
во : 14
внимание : 1
пол : 1
возраст : 1
социальную : 2
и : 15
профессиональную : 2
принадлежность : 1
ум : 1
зрелость : 1
общественную : 2
значимость : 1
и : 15
так : 15
далее : 11
И : 15
как : 15
это : 16
повлияет : 5
на : 14
Три : 10
Закона : 1
На : 14
Третий : 2
Закон : 1
вообще : 11
никак : 16
Даже : 16
самый : 2
ценный : 2
робот : 1
обязан : 8
разрушить : 6
себя : 12
ради : 14
самого : 2
ничтожного : 2
человека : 1
Здесь : 11
ничего : 12
не : 16
изменится : 5
Первого : 1
Закона : 1
это : 16
коснется : 5
только : 16
если : 15
альтернативные : 2
действия : 1
в : 14
любом : 12
случае : 1
причинят : 5
вред : 1
Тогда : 11
решение : 1
будет : 5
приниматься : 6
не : 16
только : 16
в : 14
зависимости : 1
от : 14
количества : 1
людей : 1
но : 15
и : 15
так : 15
сказать : 6
их : 12
качества : 1
при : 14
условии : 1
конечно : 15
что : 15
на : 14
это : 16
хватит : 5
времени : 1
а : 15
основания : 1
для : 14
суждения : 1
будут : 5
достаточно : 11
вескими : 2
Впрочем : 15
такие : 2
ситуации : 1
довольно : 11
редки : 3
Самым : 2
сильным : 2
изменениям : 1
подвергнется : 5
Второй : 2
Закон : 1
поскольку : 15
любое : 2
потенциальное : 2
подчинение : 1
приказу : 1
будет : 5
включать : 6
в : 14
себя : 12
суждение : 1
о : 14
нем : 3
Реакция : 1
робота : 1
замедлится : 5
за : 14
исключением : 1
тех : 2
случаев : 1
когда : 15
в : 14
силу : 1
вступит : 5
Первый : 2
Закон : 1
зато : 15
исполнение : 1
приказа : 1
будет : 5
более : 11
осмысленным : 7
Но : 15
способность : 1
судить : 6
о : 14
людях : 1
вещь : 1
непростая : 2
Вернее : 4
крайне : 11
сложная : 2
Необходимость : 1
сделать : 6
выбор : 1
замедляла : 5
реакцию : 1
наших : 2
первых : 2
двух : 10
моделей : 1
до : 14
полного : 2
паралича : 1
В : 14
следующих : 2
моделях : 1
мы : 12
пытались : 5
исправить : 6
положение : 1
за : 14
счет : 1
увеличения : 1
мозговых : 2
связей : 1
но : 15
при : 14
этом : 12
мозг : 1
становился : 5
слишком : 11
громоздким : 2
Однако : 15
в : 14
нашей : 2
последней : 2
паре : 1
моделей : 1
на : 14
мой : 2
взгляд : 1
мы : 12
добились : 5
чего : 12
хотели : 5
Роботам : 1
теперь : 11
не : 16
обязательно : 11
сразу : 11
судить : 6
о : 14
достоинствах : 1
человека : 1
или : 15
оценивать : 6
его : 12
приказы : 1
Вначале : 11
новые : 1
модели : 1
ведут : 5
себя : 12
как : 15
обычные : 2
роботы : 1
то : 15
есть : 17
подчиняются : 5
любому : 12
приказанию : 1
но : 15
одновременно : 11
они : 12
обучаются : 5
Робот : 1
развивается : 5
учится : 5
и : 15
взрослеет : 5
совсем : 11
как : 15
ребенок : 1
и : 15
поэтому : 11
сначала : 11
за : 14
ним : 12
необходим : 3
постоянный : 2
присмотр : 1
Но : 15
по : 14
мере : 1
развития : 1
он : 12
станет : 5
все : 2
более : 11
и : 15
более : 11
достойным : 2
того : 2
чтобы : 15
человеческое : 2
общество : 1
на : 14
Земле : 1
приняло : 5
его : 12
в : 14
свои : 2
ряды : 1
как : 15
полноправного : 2
члена : 1
Это : 16
несомненно : 11
снимает : 5
возражения : 1
противников : 1
роботов : 1
Нет : 13
сердито : 11
возразил : 5
Харриман : 1
Теперь : 11
они : 12
выдвигают : 5
новые : 1
претензии : 1
им : 1
не : 16
нравится : 5
что : 15
роботы : 1
способны : 3
к : 14
суждениям : 1
Робот : 1
говорят : 15
они : 12
не : 16
имеет : 5
права : 1
классифицировать : 6
того : 2
или : 15
иного : 2
человека : 1
как : 15
личность : 1
низшего : 2
сорта : 1
Отдавая : 9
предпочтение : 1
приказам : 1
некоего : 2
А : 15
перед : 14
приказами : 1
некоего : 2
Б : 16
они : 12
тем : 15
самым : 2
считают : 5
Б : 16
менее : 11
ценным : 2
по : 14
сравнению : 1
с : 14
А : 15
и : 15
нарушают : 5
основные : 2
права : 1
человека : 1
И : 15
как : 15
вы : 12
ответите : 5
на : 14
это : 16
Никак : 16
Я : 12
сдаюсь : 5
Понимаю : 5
Но : 15
это : 16
касается : 5
только : 16
меня : 12
лично : 11
Потомуто : 8
я : 12
и : 15
обращаюсь : 5
к : 14
тебе : 12
Джордж : 1
Ко : 14
мне : 12
Голос : 1
Джорджа : 1
остался : 5
таким : 2
же : 16
ровным : 2
лишь : 16
мягкое : 2
удивление : 1
прозвучало : 5
в : 14
нем : 3
Почему : 11
ко : 14
мне : 12
Потому : 11
что : 15
ты : 12
не : 16
человек : 1
с : 14
нажимом : 1
произнес : 5
Харриман : 1
Я : 12
уже : 11
говорил : 5
тебе : 12
что : 15
хочу : 5
видеть : 6
роботов : 1
партнерами : 1
людей : 1
вот : 16
и : 15
стань : 5
моим : 2
партнером : 1
Джордж : 1
Десять : 10
беспомощно : 11
странно : 11
человеческим : 2
жестом : 1
развел : 5
руками : 1
Что : 15
я : 12
могу : 5
сделать : 6
Тебе : 12
конечно : 15
кажется : 15
что : 15
ты : 12
ничего : 12
не : 16
можешь : 5
Джордж : 1
Ты : 12
создан : 8
совсем : 11
недавно : 11
в : 14
сущности : 1
ты : 12
еще : 16
дитя : 1
Тебя : 12
специально : 11
не : 16
перегружали : 5
информацией : 1
поэтому : 11
мне : 12
и : 15
приходится : 5
объяснять : 6
все : 2
так : 15
подробно : 11
чтобы : 15
оставить : 6
место : 1
для : 14
развития : 1
Но : 15
твой : 2
интеллект : 1
будет : 5
развиваться : 6
и : 15
позволит : 5
тебе : 12
взглянуть : 6
на : 14
проблему : 1
с : 14
иной : 2
не : 16
человеческой : 2
точки : 1
зрения : 1
Там : 11
где : 11
я : 12
не : 16
вижу : 5
выхода : 1
ты : 12
можешь : 5
найти : 6
его : 12
Мой : 2
мозг : 1
сконструирован : 8
людьми : 1
Как : 15
он : 12
может : 5
быть : 6
нечеловеческим : 2
Джордж : 1
ты : 12
последняя : 2
модель : 1
серии : 1
ДжР : 18
Твой : 2
мозг : 1
наиболее : 11
сложный : 2
из : 14
всех : 2
которые : 2
мы : 12
создавали : 5
когдалибо : 11
в : 14
чемто : 3
он : 12
устроен : 3
даже : 16
более : 11
тонко : 11
чем : 15
у : 14
прежних : 2
огромных : 2
Машин : 1
Он : 12
представляет : 5
собой : 12
открытую : 2
систему : 1
и : 15
несмотря : 14
на : 14
изначальное : 2
человекоподобие : 1
эта : 2
система : 1
может : 5
развиваться : 6
будет : 5
развиваться : 6
в : 14
любом : 12
неожиданном : 2
направлении : 1
Оставаясь : 9
в : 14
непреложных : 2
границах : 1
Трех : 10
Законов : 1
ты : 12
можешь : 5
обрести : 6
тем : 15
не : 16
менее : 11
совершенно : 11
нечеловеческий : 2
образ : 1
мышления : 1
Но : 15
хватит : 5
ли : 16
у : 14
меня : 12
знаний : 1
о : 14
людях : 1
чтобы : 15
правильно : 11
подойти : 6
к : 14
проблеме : 1
Об : 14
их : 12
истории : 1
Психике : 1
Конечно : 15
нет : 13
Но : 15
ты : 12
будешь : 5
обучаться : 6
настолько : 11
быстро : 11
насколько : 11
это : 16
возможно : 15
Мне : 12
будет : 5
ктонибудь : 5
помогать : 6
мистер : 1
Харриман : 1
Нет : 13
Все : 2
это : 16
строго : 11
между : 14
нами : 12
Никто : 12
ни : 16
о : 14
чем : 15
не : 16
должен : 3
знать : 6
и : 15
ты : 12
не : 16
должен : 3
говорить : 6
об : 14
этом : 12
проекте : 1
ни : 16
одному : 2
человеку : 1
ни : 16
в : 14
Ю : 1
С : 14
Роботс : 1
ни : 16
за : 14
пределами : 1
фирмы : 1
Мы : 12
совершаем : 5
нечто : 12
предосудительное : 2
мистер : 1
Харриман : 1
если : 15
вы : 12
так : 15
настаиваете : 5
на : 14
сохранении : 1
тайны : 1
спросил : 5
Джордж : 1
Нет : 13
Но : 15
решение : 1
предложенное : 7
роботом : 1
не : 16
будет : 5
принято : 8
именно : 16
потому : 11
что : 15
оно : 12
исходит : 5
от : 14
робота : 1
Как : 15
только : 16
ты : 12
чтонибудь : 5
придумаешь : 5
сразу : 11
дай : 5
мне : 12
знать : 6
и : 15
если : 15
твое : 2
решение : 1
покажется : 5
мне : 12
верным : 2
я : 12
представлю : 5
его : 12
как : 15
свое : 2
Никто : 12
не : 16
узнает : 5
что : 15
ты : 12
его : 12
автор : 1
В : 14
свете : 1
того : 2
что : 15
вы : 12
говорили : 5
раньше : 4
спокойно : 11
проговорил : 5
Джордж : 1
Десять : 10
это : 16
кажется : 15
мне : 12
вполне : 11
разумным : 2
Когда : 15
приступать : 6
Прямо : 11
сейчас : 11
Я : 12
позабочусь : 5
о : 14
том : 2
чтобы : 15
у : 14
тебя : 12
были : 5
все : 2
необходимые : 2
пленки : 1
Харриман : 1
остался : 5
один : 2
Искусственное : 2
освещение : 1
в : 14
кабинете : 1
скрадывало : 5
наступившие : 7
сумерки : 1
Ощущение : 1
времени : 1
както : 11
стерлось : 5
и : 15
Харриман : 1
даже : 16
не : 16
заметил : 5
что : 15
с : 14
тех : 2
пор : 1
как : 15
он : 12
отвел : 5
Джорджа : 1
Десять : 10
в : 14
его : 12
ячейку : 1
и : 15
оставил : 5
там : 11
с : 14
первой : 2
порцией : 1
пленок : 1
прошло : 3
уже : 11
три : 10
часа : 1
Теперь : 11
он : 12
сидел : 5
в : 14
полном : 2
одиночестве : 1
наедине : 11
с : 14
призраком : 1
Сьюзен : 1
Кэлвин : 1
блестящего : 2
робопсихолога : 1
которая : 2
мановением : 1
руки : 1
превратила : 5
позитронных : 2
роботов : 1
из : 14
громоздких : 2
игрушек : 1
в : 14
самый : 2
разносторонний : 2
и : 15
тонкий : 2
инструмент : 1
для : 14
человека : 1
настолько : 11
тонкий : 2
и : 15
многогранный : 2
что : 15
люди : 1
не : 16
осмеливались : 5
от : 14
страха : 1
или : 15
из : 14
зависти : 1
пользоваться : 6
им : 1
После : 14
ее : 12
смерти : 1
прошло : 3
более : 11
ста : 10
лет : 1
Проблема : 1
комплекса : 1
Франкенштейна : 1
существовала : 5
и : 15
тогда : 11
но : 15
Сьюзен : 1
не : 16
удалось : 5
решить : 6
ее : 12
Хотя : 15
с : 14
другой : 2
стороны : 1
она : 12
никогда : 11
и : 15
не : 16
пыталась : 5
сделать : 6
этого : 12
не : 16
было : 5
особой : 1
необходимости : 1
В : 14
ее : 12
время : 1
роботехника : 1
развивалась : 5
за : 14
счет : 1
исследований : 1
в : 14
космосе : 1
Самый : 2
факт : 1
успешного : 2
развития : 1
роботов : 1
сократил : 5
у : 14
человечества : 1
потребность : 1
в : 14
них : 12
и : 15
заставил : 5
Харримана : 1
в : 14
его : 12
время : 1
Но : 15
обратилась : 5
бы : 16
Сьюзен : 1
Кэлвин : 1
за : 14
помощью : 1
к : 14
роботу : 1
Несомненно : 11
она : 12
бы : 16
И : 15
так : 15
он : 12
сидел : 5
до : 14
поздней : 2
ночи : 1
Максвелл : 1
Робертсон : 1
был : 5
главным : 1
держателем : 1
акций : 1
Ю : 1
С : 14
Роботс : 1
и : 15
в : 14
этом : 12
смысле : 1
контролировал : 5
фирму : 1
Его : 12
наружность : 1
никак : 16
нельзя : 13
было : 5
назвать : 6
впечатляющей : 2
Средних : 2
лет : 1
низенький : 2
и : 15
плотный : 2
он : 12
постоянно : 11
жевал : 5
правый : 1
угол : 1
нижней : 2
губы : 1
когда : 15
был : 5
взволнован : 8
или : 15
раздражен : 8
За : 14
два : 10
десятилетия : 1
общения : 1
с : 14
правительственными : 2
чиновниками : 1
он : 12
научился : 5
обращаться : 6
с : 14
ними : 12
был : 5
мягок : 3
уступчив : 3
улыбчив : 3
и : 15
всегда : 11
умел : 5
выиграть : 6
время : 1
Но : 15
чем : 15
дальше : 4
тем : 15
больших : 2
усилий : 1
это : 16
требовало : 5
от : 14
него : 12
и : 15
в : 14
основном : 1
изза : 1
Гуннара : 1
Эйзенмата : 1
В : 14
системе : 1
Глобальной : 2
Экологической : 2
Охраны : 1
за : 14
последнее : 2
столетие : 1
забравшей : 7
в : 14
свои : 2
руки : 1
власть : 1
уступающую : 7
разве : 16
что : 15
власти : 1
Всемирного : 2
Правительства : 1
Эйзенмат : 1
наиболее : 11
рьяно : 11
пробивался : 5
сквозь : 14
серую : 2
зону : 1
компромиссов : 1
к : 14
крайней : 2
неуступчивости : 1
Он : 12
был : 5
первым : 2
и : 15
единственным : 2
неамериканцем : 1
по : 14
рождению : 1
среди : 14
Охранителей : 1
и : 15
все : 2
сотрудники : 1
Ю : 1
С : 14
Роботс : 1
считали : 5
что : 15
его : 12
враждебность : 1
возбуждает : 5
устаревшее : 2
название : 1
фирмы : 1
хотя : 15
прямых : 1
доказательств : 1
тому : 2
вроде : 16
бы : 16
не : 16
было : 5
Уже : 11
не : 16
впервые : 11
в : 14
этом : 12
году : 1
а : 15
тем : 15
более : 11
при : 14
жизни : 1
нынешнего : 2
поколения : 1
вставал : 5
вопрос : 1
о : 14
переименовании : 1
корпорации : 1
в : 14
Уорлд : 1
Роботс : 1
но : 15
Робертсон : 1
опять : 11
воспротивился : 5
Компания : 1
была : 5
основана : 8
с : 14
помощью : 1
американского : 2
капитала : 1
американских : 2
мозгов : 1
и : 15
американского : 2
труда : 1
и : 15
хотя : 15
она : 12
давно : 11
уже : 11
по : 14
сути : 1
и : 15
по : 14
размаху : 1
операций : 1
превратилась : 5
в : 14
международную : 2
корпорацию : 1
название : 1
фирмы : 1
будет : 5
свидетельствовать : 6
о : 14
ее : 12
происхождении : 1
по : 14
крайней : 2
мере : 1
пока : 11
он : 12
Робертсон : 1
стоит : 5
у : 14
руля : 1
Эйзенмат : 1
был : 5
высоким : 2
человеком : 1
с : 14
грубо : 11
вылепленным : 7
печальным : 2
длинным : 2
лицом : 1
На : 14
универсальном : 2
языке : 1
он : 12
разговаривал : 5
с : 14
заметным : 2
американским : 2
акцентом : 1
хотя : 15
ни : 16
разу : 1
не : 16
бывал : 5
в : 14
Штатах : 1
до : 14
своего : 2
назначения : 1
на : 14
должность : 1
Мне : 12
кажется : 15
что : 15
все : 2
совершенно : 11
ясно : 11
мистер : 1
Робертсон : 1
Не : 16
вижу : 5
в : 14
чем : 15
затруднение : 1
Продукция : 1
вашей : 2
компании : 1
всегда : 11
сдавалась : 5
в : 14
аренду : 1
и : 15
никогда : 11
не : 16
подлежала : 5
продаже : 1
Если : 15
взятая : 7
в : 14
аренду : 1
собственность : 1
фирмы : 1
на : 14
Луне : 1
больше : 4
не : 16
нужна : 3
вы : 12
обязаны : 8
забрать : 6
ее : 12
и : 15
отправить : 6
в : 14
другое : 2
место : 1
Конечно : 15
Охранитель : 1
но : 15
куда : 1
Мы : 12
не : 16
можем : 5
привезти : 6
роботов : 1
на : 14
Землю : 1
без : 14
разрешения : 1
правительства : 1
это : 16
противозаконно : 11
а : 15
в : 14
разрешении : 1
нам : 12
отказано : 8
Но : 15
ведь : 15
они : 12
вам : 12
здесь : 11
и : 15
не : 16
нужны : 3
Отправьте : 5
их : 12
на : 14
Меркурий : 1
или : 15
на : 14
астероиды : 1
И : 15
что : 15
мы : 12
будем : 5
там : 11
с : 14
ними : 12
делать : 6
Изобретательные : 2
сотрудники : 1
вашей : 2
фирмы : 1
наверняка : 11
чтонибудь : 5
придумают : 5
Это : 16
означает : 5
огромные : 2
убытки : 1
для : 14
компании : 1
покачал : 5
головой : 1
Робертсон : 1
Боюсь : 5
что : 15
так : 15
Судя : 9
